"Found?","Search term","Census","Matched name(s)","Name status","Name type","Tags","canonicalName","scientificNameID","scientificNameAuthorship","taxonRank","taxonRankSortOrder","taxonRankAbbreviation","kingdom","class","subclass","family","genericName","specificEpithet","infraspecificEpithet","nameElement","firstHybridParentName","firstHybridParentNameID","secondHybridParentName","secondHybridParentNameID"
"true","Alternanthera philoxeroides","APC","Alternanthera philoxeroides (Mart.) Griseb.","legitimate","scientific","[]","Alternanthera philoxeroides","https://test-id.biodiversity.org.au/name/apni/84286","(Mart.) Griseb.","Species","190","sp.","Plantae","","","Amaranthaceae","Alternanthera","philoxeroides","","philoxeroides","","","",""
"true","Andropogon gayanus","APC","Andropogon gayanus Kunth","legitimate","scientific","[]","Andropogon gayanus","https://test-id.biodiversity.org.au/name/apni/171296","Kunth","Species","190","sp.","Plantae","","","Poaceae","Andropogon","gayanus","","gayanus","","","",""
"true","Annona glabra","APC","Annona glabra L.","legitimate","scientific","[]","Annona glabra","https://test-id.biodiversity.org.au/name/apni/116436","L.","Species","190","sp.","Plantae","","","Annonaceae","Annona","glabra","","glabra","","","",""
"true","Anredera cordifolia","APC","Anredera cordifolia (Ten.) Steenis","legitimate","scientific","[]","Anredera cordifolia","https://test-id.biodiversity.org.au/name/apni/94061","(Ten.) Steenis","Species","190","sp.","Plantae","","","Basellaceae","Anredera","cordifolia","","cordifolia","","","",""
"true","Asparagus aethiopicus","APC","Asparagus aethiopicus L.","legitimate","scientific","[]","Asparagus aethiopicus","https://test-id.biodiversity.org.au/name/apni/119305","L.","Species","190","sp.","Plantae","","","Asparagaceae","Asparagus","aethiopicus","","aethiopicus","","","",""
"true","Asparagus asparagoides","APC","Asparagus asparagoides (L.) W.Wight","legitimate","scientific","[]","Asparagus asparagoides","https://test-id.biodiversity.org.au/name/apni/194694","(L.) W.Wight","Species","190","sp.","Plantae","","","Asparagaceae","Asparagus","asparagoides","","asparagoides","","","",""
"true","Asparagus declinatus","APC","Asparagus declinatus L.","legitimate","scientific","[]","Asparagus declinatus","https://test-id.biodiversity.org.au/name/apni/164929","L.","Species","190","sp.","Plantae","","","Asparagaceae","Asparagus","declinatus","","declinatus","","","",""
"true","Cabomba caroliniana","APC","Cabomba caroliniana A.Gray","legitimate","scientific","[]","Cabomba caroliniana","https://test-id.biodiversity.org.au/name/apni/89390","A.Gray","Species","190","sp.","Plantae","","","Cabombaceae","Cabomba","caroliniana","","caroliniana","","","",""
"true","Chrysanthemoides monilifera subsp. monilifera","APC","Chrysanthemoides monilifera (L.) Norl. subsp. monilifera","legitimate","autonym","[]","Chrysanthemoides monilifera subsp. monilifera","https://test-id.biodiversity.org.au/name/apni/67853","","Subspecies","200","subsp.","Plantae","","","Asteraceae","Chrysanthemoides","monilifera","monilifera","monilifera","","","",""
"true","Chrysanthemoides monilifera subsp. rotundata","APC","Chrysanthemoides monilifera subsp. rotundata (DC.) Norl.","legitimate","scientific","[]","Chrysanthemoides monilifera subsp. rotundata","https://test-id.biodiversity.org.au/name/apni/67864","(DC.) Norl.","Subspecies","200","subsp.","Plantae","","","Asteraceae","Chrysanthemoides","monilifera","rotundata","rotundata","","","",""
"true","Cryptostegia grandiflora","APC","Cryptostegia grandiflora R.Br.","legitimate","scientific","[]","Cryptostegia grandiflora","https://test-id.biodiversity.org.au/name/apni/88828","R.Br.","Species","190","sp.","Plantae","","","Apocynaceae","Cryptostegia","grandiflora","","grandiflora","","","",""
"true","Cytisus scoparius","APC","Cytisus scoparius (L.) Link","legitimate","scientific","[]","Cytisus scoparius","https://test-id.biodiversity.org.au/name/apni/100521","(L.) Link","Species","190","sp.","Plantae","","","Fabaceae","Cytisus","scoparius","","scoparius","","","",""
"true","Dolichandra unguis-cati","APC","Dolichandra unguis-cati (L.) L.G.Lohmann","legitimate","scientific","[]","Dolichandra unguis-cati","https://test-id.biodiversity.org.au/name/apni/238650","(L.) L.G.Lohmann","Species","190","sp.","Plantae","","","Bignoniaceae","Dolichandra","unguis-cati","","unguis-cati","","","",""
"true","Genista linifolia","APC","Genista linifolia L.","legitimate","scientific","[]","Genista linifolia","https://test-id.biodiversity.org.au/name/apni/66041","L.","Species","190","sp.","Plantae","","","Fabaceae","Genista","linifolia","","linifolia","","","",""
"true","Genista monspessulana","APC","Genista monspessulana (L.) L.A.S.Johnson","legitimate","scientific","[]","Genista monspessulana","https://test-id.biodiversity.org.au/name/apni/66092","(L.) L.A.S.Johnson","Species","190","sp.","Plantae","","","Fabaceae","Genista","monspessulana","","monspessulana","","","",""
"true","Hymenachne amplexicaulis","APC","Hymenachne amplexicaulis (Rudge) Nees","legitimate","scientific","[]","Hymenachne amplexicaulis","https://test-id.biodiversity.org.au/name/apni/65315","(Rudge) Nees","Species","190","sp.","Plantae","","","Poaceae","Hymenachne","amplexicaulis","","amplexicaulis","","","",""
"true","Jatropha gossypifolia","APC","Jatropha gossypifolia L.","legitimate","scientific","[]","Jatropha gossypifolia","https://test-id.biodiversity.org.au/name/apni/62625","L.","Species","190","sp.","Plantae","","","Euphorbiaceae","Jatropha","gossypifolia","","gossypifolia","","","",""
"true","Lantana camara","APC","Lantana camara L.","legitimate","scientific","[]","Lantana camara","https://test-id.biodiversity.org.au/name/apni/55079","L.","Species","190","sp.","Plantae","","","Verbenaceae","Lantana","camara","","camara","","","",""
"true","Lycium ferocissimum","APC","Lycium ferocissimum Miers","legitimate","scientific","[]","Lycium ferocissimum","https://test-id.biodiversity.org.au/name/apni/79993","Miers","Species","190","sp.","Plantae","","","Solanaceae","Lycium","ferocissimum","","ferocissimum","","","",""
"true","Mimosa pigra","APC","Mimosa pigra L.","nom. cons.","scientific","[]","Mimosa pigra","https://test-id.biodiversity.org.au/name/apni/116682","L.","Species","190","sp.","Plantae","","","Fabaceae","Mimosa","pigra","","pigra","","","",""
"true","Nassella neesiana","APC","Nassella neesiana (Trin. & Rupr.) Barkworth","legitimate","scientific","[]","Nassella neesiana","https://test-id.biodiversity.org.au/name/apni/134846","(Trin. & Rupr.) Barkworth","Species","190","sp.","Plantae","","","Poaceae","Nassella","neesiana","","neesiana","","","",""
"true","Nassella trichotoma","APC","Nassella trichotoma (Nees) Hack. ex Arechav.","legitimate","scientific","[]","Nassella trichotoma","https://test-id.biodiversity.org.au/name/apni/63783","(Nees) Hack. ex Arechav.","Species","190","sp.","Plantae","","","Poaceae","Nassella","trichotoma","","trichotoma","","","",""
"true","Opuntia","APC","Opuntia Mill.","legitimate","scientific","[]","Opuntia","https://test-id.biodiversity.org.au/name/apni/55057","Mill.","Genus","120","gen.","Plantae","","","Cactaceae","Opuntia","","","Opuntia","","","",""
"true","Parkinsonia aculeata","APC","Parkinsonia aculeata L.","legitimate","scientific","[]","Parkinsonia aculeata","https://test-id.biodiversity.org.au/name/apni/115330","L.","Species","190","sp.","Plantae","","","Fabaceae","Parkinsonia","aculeata","","aculeata","","","",""
"true","Parthenium hysterophorus","APC","Parthenium hysterophorus L.","legitimate","scientific","[]","Parthenium hysterophorus","https://test-id.biodiversity.org.au/name/apni/54839","L.","Species","190","sp.","Plantae","","","Asteraceae","Parthenium","hysterophorus","","hysterophorus","","","",""
"true","Pontederia crassipes","APC","Pontederia crassipes Mart.","legitimate","scientific","[]","Pontederia crassipes","https://test-id.biodiversity.org.au/name/apni/98714","Mart.","Species","190","sp.","Plantae","","","Pontederiaceae","Pontederia","crassipes","","crassipes","","","",""
"true","Prosopis","APC","Prosopis L.","legitimate","scientific","[]","Prosopis","https://test-id.biodiversity.org.au/name/apni/108846","L.","Genus","120","gen.","Plantae","","","Fabaceae","Prosopis","","","Prosopis","","","",""
"true","Rubus fruticosus","","Rubus fruticosus L.","legitimate","scientific","[]","Rubus fruticosus","https://test-id.biodiversity.org.au/name/apni/85694","L.","Species","190","sp.","Plantae","","","Rosaceae","Rubus","fruticosus","","fruticosus","","","",""
"true","Sagittaria platyphylla","APC","Sagittaria platyphylla (Engelm.) J.G.Sm.","legitimate","scientific","[]","Sagittaria platyphylla","https://test-id.biodiversity.org.au/name/apni/173623","(Engelm.) J.G.Sm.","Species","190","sp.","Plantae","","","Alismataceae","Sagittaria","platyphylla","","platyphylla","","","",""
"true","Salix","APC","Salix L.","legitimate","scientific","[]","Salix","https://test-id.biodiversity.org.au/name/apni/59669","L.","Genus","120","gen.","Plantae","","","Salicaceae","Salix","","","Salix","","","",""
"false","Salvinia molesta","","not found","","",""
"true","Senecio madagascariensis","APC","Senecio madagascariensis Poir.","legitimate","scientific","[]","Senecio madagascariensis","https://test-id.biodiversity.org.au/name/apni/116244","Poir.","Species","190","sp.","Plantae","","","Asteraceae","Senecio","madagascariensis","","madagascariensis","","","",""
"true","Solanum elaeagnifolium","APC","Solanum elaeagnifolium Cav.","legitimate","scientific","[]","Solanum elaeagnifolium","https://test-id.biodiversity.org.au/name/apni/101259","Cav.","Species","190","sp.","Plantae","","","Solanaceae","Solanum","elaeagnifolium","","elaeagnifolium","","","",""
"true","Tamarix aphylla","APC","Tamarix aphylla (L.) H.Karst.","legitimate","scientific","[]","Tamarix aphylla","https://test-id.biodiversity.org.au/name/apni/80023","(L.) H.Karst.","Species","190","sp.","Plantae","","","Tamaricaceae","Tamarix","aphylla","","aphylla","","","",""
"true","Ulex europaeus","APC","Ulex europaeus L.","legitimate","scientific","[]","Ulex europaeus","https://test-id.biodiversity.org.au/name/apni/86777","L.","Species","190","sp.","Plantae","","","Fabaceae","Ulex","europaeus","","europaeus","","","",""
"true","Vachellia nilotica","APC","Vachellia nilotica (L.) P.J.H.Hurter & Mabb.","legitimate","scientific","[]","Vachellia nilotica","https://test-id.biodiversity.org.au/name/apni/214158","(L.) P.J.H.Hurter & Mabb.","Species","190","sp.","Plantae","","","Fabaceae","Vachellia","nilotica","","nilotica","","","",""