Original,Notes
https://linked.data.gov.au/org/VBA,
https://linked.data.gov.au/org/NVA,
https://linked.data.gov.au/org/N-A,
https://linked.data.gov.au/org/Environment-Australia-Canberra,DCCEEW
https://linked.data.gov.au/org/Private,junk
https://linked.data.gov.au/dataset/bdr/org/N-A,junk
https://linked.data.gov.au/org/Private-Individual,junk
https://linked.data.gov.au/org/Public-Domain,junk
https://linked.data.gov.au/dataset/bdr/software/Part-A-9-0-0,ignore
https://linked.data.gov.au/dataset/bdr/software/Part-A-8-1-0,ignore
https://linked.data.gov.au/dataset/bdr/software/Part-A-8-0-0,ignore
https://linked.data.gov.au/dataset/bdr/software/Part-A/7.0.0,ignore
https://linked.data.gov.au/org/Department-of-Agriculture-and-Fisheries,Qld DAFF
https://linked.data.gov.au/org/BRI,
https://linked.data.gov.au/org/USNM,
https://linked.data.gov.au/org/MCZ,
https://linked.data.gov.au/org/NHMW,
https://linked.data.gov.au/org/SMF,
https://linked.data.gov.au/org/ZFMK,
https://linked.data.gov.au/org/UZMO,
https://linked.data.gov.au/org/ZMB,
https://linked.data.gov.au/org/NMV,
https://linked.data.gov.au/org/MVZ,
https://linked.data.gov.au/org/FMNH,
https://linked.data.gov.au/org/ANWC,
https://linked.data.gov.au/org/ZMO,
https://linked.data.gov.au/org/Rockhampton,The Council?
https://linked.data.gov.au/org/MV,
https://linked.data.gov.au/org/LTU,La Trobe Uni?
https://linked.data.gov.au/org/Berlin-Mus,Which one? There are lots