Original,Replacement,ABN,Name,Website
https://linked.data.gov.au/org/Department-of-Energy-Environment-and-Climate-Action-DEECA,https://linked.data.gov.au/org/vic-deeca,,"Vic Department of Energy, Environment and Climate Action",https://www.deeca.vic.gov.au
https://linked.data.gov.au/org/gaia-resources,https://linked.data.gov.au/org/gaia-resources,94 119 508 824,Gaia Resources,https://www.gaiaresources.com.au
https://linked.data.gov.au/dataset/bdr/org/gaia,https://linked.data.gov.au/org/gaia-resources,94 119 508 824,Gaia Resources,https://www.gaiaresources.com.au
https://linked.data.gov.au/org/Biodiversity-Information-Office,https://linked.data.gov.au/org/wa-bio,,WA Biodiversity Information Office,https://bio.wa.gov.au
https://linked.data.gov.au/org/DBCA-Biodiversity-Conservation-and-Attractions,https://linked.data.gov.au/org/wa-dbca,,"WA Department of Biodiversity, Conservation and Attractions",https://www.dbca.wa.gov.au
https://linked.data.gov.au/org/WA-BIO-Submission-Team,https://linked.data.gov.au/org/wa-bio,,WA Biodiversity Information Office,https://bio.wa.gov.au
https://linked.data.gov.au/org/bdbsa,https://linked.data.gov.au/org/bdbsa,,Biological Databases of South Australia,https://www.environment.sa.gov.au/topics/science/information-and-data/biological-databases-of-south-australia
https://linked.data.gov.au/org/SA-Department-for-Environment-and-Water,https://linked.data.gov.au/org/sa-dew,,SA Department for Environment and Water,https://www.environment.sa.gov.au
https://linked.data.gov.au/org/BHP,https://linked.data.gov.au/org/bhp,57 071 987 669,BHP,https://www.bhp.com
https://linked.data.gov.au/org/csiro,https://linked.data.gov.au/org/csiro,,CSIRO,https://www.csiro.au
https://linked.data.gov.au/org/WA-Department-of-Agriculture-and-Food,https://linked.data.gov.au/org/dafwa,,WA Department of Agriculture and Food,https://www.dpird.wa.gov.au
https://linked.data.gov.au/org/DBCA-Biodiversity-Conservation-Attractions,https://linked.data.gov.au/org/wa-dbca,38 052 249 024,"WA Department of Biodiversity, Conservation and Attractions",https://www.dbca.wa.gov.au
https://linked.data.gov.au/org/WA-Herbarium,https://linked.data.gov.au/org/wa-herbarium,,WA Herbarium,https://www.dbca.wa.gov.au/science/research-tools-and-repositories/western-australian-herbarium
https://linked.data.gov.au/org/WA-Museum,https://linked.data.gov.au/org/wam,95 249 517 733,Western Australian Museum,https://visit.museum.wa.gov.au
https://linked.data.gov.au/org/Royal-Botanic-Gardens-Victoria,https://linked.data.gov.au/org/rbgv,,Royal Botanic Gardens Victoria,https://www.rbg.vic.gov.au
https://linked.data.gov.au/org/South-Australian-Museum,https://linked.data.gov.au/org/sam,39 808 959 302,South Australian Museum,https://www.samuseum.sa.gov.au
https://linked.data.gov.au/org/Dept-Environment-Water-Natural-Resources,https://linked.data.gov.au/org/sa-dewnr,36 702 093 234,SA Department for Environment and Water,https://www.environment.sa.gov.au
https://linked.data.gov.au/org/Species-and-Communities-Program-DBCA,https://linked.data.gov.au/org/wa-dbca,,"WA Department of Biodiversity, Conservation and Attractions",https://www.dbca.wa.gov.au
https://linked.data.gov.au/org/Centre-for-Aust-National-Biodiversity-Research,https://linked.data.gov.au/org/canbr,,Centre for Australian National Biodiversity Research,https://www.anbg.gov.au/cpbr/
https://linked.data.gov.au/org/ACT-Government,https://linked.data.gov.au/org/act,,ACT Government,https://www.act.gov.au
https://linked.data.gov.au/org/act-atlas,https://linked.data.gov.au/org/act-atlas,,ACT Wildlife Atlas,https://researchdata.edu.au/act-wildlife-atlas/3543262
https://linked.data.gov.au/org/Royal-Botanic-Gardens-Domain-Trust,https://linked.data.gov.au/org/rbgdt,,Royal Botanic Gardens and Domain Trust,https://www.service.nsw.gov.au/nswgovdirectory/royal-botanic-gardens-and-domain-trust-the
https://linked.data.gov.au/org/Rio-Tinto,https://linked.data.gov.au/org/riotinto,96 004 458 404,Rio Tinto,https://www.riotinto.com
https://linked.data.gov.au/org/Western-Shield,https://linked.data.gov.au/org/western-shield,,Western Shield,http://www.dbca.wa.gov.au/management/threat-management/invasive-animals/western-shield
https://linked.data.gov.au/org/University-of-Adelaide,https://linked.data.gov.au/org/uadelaide,61 249 878 937,University of Adelaide,https://www.adelaide.edu.au
https://linked.data.gov.au/org/Department-of-Land-Resource-Management,https://linked.data.gov.au/org/nt-dlrm,,NT Department of Land Resource Management,https://environment.nt.gov.au
https://linked.data.gov.au/org/Scion,https://linked.data.gov.au/org/scion,,Scion Crown Research Institute of NZ,https://www.scionresearch.com
https://linked.data.gov.au/org/WABSI,https://linked.data.gov.au/org/wabsi,,Western Australian Biodiversity Science Institute,https://wabsi.org.au
https://linked.data.gov.au/org/Museum-of-New-Zealand-Te-Papa-Tongarewa,https://linked.data.gov.au/org/te-papa,,Museum of New Zealand Te Papa Tongarewa,https://www.tepapa.govt.nz
https://linked.data.gov.au/org/Australian-Museum,https://linked.data.gov.au/org/am,85 407 224 698,Australian Museum,https://australian.museum
https://linked.data.gov.au/org/Queen-Victoria-Museum-Art-Gallery,https://linked.data.gov.au/org/qvmag,73 149 070 625,Queen Victoria Museum & Art Gallery,https://www.qvmag.tas.gov.au
https://linked.data.gov.au/org/University-of-New-England,https://linked.data.gov.au/org/une,75 792 454 315,University of New England,https://www.une.edu.au
https://linked.data.gov.au/org/Landcare-Research-NZ-Ltd,https://linked.data.gov.au/org/mwlr,,Manaaki Whenua â€“ Landcare Research,https://www.landcareresearch.co.nz
https://linked.data.gov.au/org/Queensland-Department-of-Agriculture-and-Fisheries,https://linked.data.gov.au/org/qld-daff,66 934 348 189,Queensland Department of Agriculture and Fisheries,https://www.dpi.qld.gov.au
https://linked.data.gov.au/org/Australian-Tropical-Herbarium,https://linked.data.gov.au/org/ath,,Australian Tropical Herbarium,https://www.ath.org.au
https://linked.data.gov.au/org/Auckland-War-Memorial-Museum,https://linked.data.gov.au/org/awmm,,Auckland War Memorial Museum,https://www.aucklandmuseum.com
https://linked.data.gov.au/org/La-Trobe-University,https://linked.data.gov.au/org/latrobe,64 804 735 113,La Trobe University,https://www.latrobe.edu.au
https://linked.data.gov.au/org/James-Cook-University,https://linked.data.gov.au/org/jcu,46 253 211 955,James Cook University,https://www.jcu.edu.au
https://linked.data.gov.au/org/Northern-Territory-Department-of-Infrastructure-Planning-and-Environment,https://linked.data.gov.au/org/nt-dipe,,Northern-Territory Department of Infrastructure Planning and Environment,https://environment.nt.gov.au
https://linked.data.gov.au/org/NT-Atlas,https://linked.data.gov.au/org/nt-atlas,,NT Fauna Atlas,https://data.nt.gov.au/dataset/nt-fauna-atlas
https://linked.data.gov.au/org/Tasmanian-Museum-and-Art-Gallery,https://linked.data.gov.au/org/tmag,17 334 217 592,Tasmanian Museum and Art Gallery,https://www.tmag.tas.gov.au
https://linked.data.gov.au/org/University-of-Melbourne,https://linked.data.gov.au/org/uom,,The University of Melbourne,https://www.unimelb.edu.au
https://linked.data.gov.au/org/Australian-National-Biodiversity-Research,https://linked.data.gov.au/org/canbr,,Centre for Australian National Biodiversity Research,https://www.anbg.gov.au/cpbr/
https://linked.data.gov.au/org/Museums-Victoria,https://linked.data.gov.au/org/museumsvictoria,63 640 679 155,Museums Victoria,https://museumsvictoria.com.au
https://linked.data.gov.au/org/nsw-bionet,https://linked.data.gov.au/org/nsw-bionet,,NSW BioNet,https://www.environment.nsw.gov.au/topics/animals-and-plants/biodiversity/nsw-bionet
https://linked.data.gov.au/org/Gaia-Research,https://linked.data.gov.au/org/gaia-resources,94 119 508 824,Gaia Resources,https://www.gaiaresources.com.au
https://linked.data.gov.au/org/nsw-dcceew,https://linked.data.gov.au/org/nsw-dcceew,27 578 976 844,"NSW Department of Climate Change, Energy, the Environment and Water",https://www.nsw.gov.au/departments-and-agencies/dcceew
https://linked.data.gov.au/org/NSW-Dept-of-Planning-and-Environment,https://linked.data.gov.au/org/nsw-dpe,,NSW Dept of Planning and Environment,https://www.dpie.nsw.gov.au
https://linked.data.gov.au/org/Science-for-Wildlife-Ltd,https://linked.data.gov.au/org/scienceforwildlife,,Science for Wildlife,https://www.scienceforwildlife.org
https://linked.data.gov.au/org/University-of-New-South-Wales,https://linked.data.gov.au/org/unsw,57 195 873 179,The University of NSW,https://www.unsw.edu.au
https://linked.data.gov.au/org/NSW-Department-of-Primary-Industries-Forests,https://linked.data.gov.au/org/nsw-daff,,NSW Department of Primary Industries Forests,https://www.dpi.nsw.gov.au/forestry
https://linked.data.gov.au/org/NSW-National-Parks-and-Wildlife-Service,https://linked.data.gov.au/org/nsw-npws,27 578 976 844,NSW National Parks and Wildlife Service,https://www.nationalparks.nsw.gov.au
https://linked.data.gov.au/org/National-Parks-Association-of-NSW,https://linked.data.gov.au/org/npansw,67 694 961 955,NPANSW,https://npansw.org.au
https://linked.data.gov.au/org/Sydney-Fungal-Studies-Group-Inc,https://linked.data.gov.au/org/sfsgi,76 384 308 862,Sydney Fungal Studies Group,https://www.sydneyfungalstudies.org.au
https://linked.data.gov.au/org/Umwelt-Australia-Pty-Limited,https://linked.data.gov.au/org/umweltaust,18 059 519 041,Umwelt Australia Pty Ltd,https://www.umwelt.com.au
https://linked.data.gov.au/org/Australian-Wildlife-Conservancy,https://linked.data.gov.au/org/awc,36 068 572 556,Australian Wildlife Conservancy,https://www.australianwildlife.org
https://linked.data.gov.au/org/MJD-Environmental-Pty-Ltd,https://linked.data.gov.au/org/mjdenv,58 609 765 693,MJD Environmental,https://www.mjdenvironmental.com
https://linked.data.gov.au/org/AMBS-Ecology-and-Heritage,https://linked.data.gov.au/org/ambseh,96 609 155 464,AMBS Ecology & Heritage,https://www.ambs.consulting
https://linked.data.gov.au/org/State-Herbarium-of-South-Australia,https://linked.data.gov.au/org/sa-herbarium,,State Herbarium of South Australia,https://www.botanicgardens.sa.gov.au/science/research/state-herbarium
https://linked.data.gov.au/org/Department-for-Environment-and-Water,https://linked.data.gov.au/org/sa-dew,,SA Department for Environment and Water,https://www.environment.sa.gov.au
https://linked.data.gov.au/org/Northern-Territory-Herbarium,https://linked.data.gov.au/org/nt-herbarium,,NT Herbarium,https://nt.gov.au/environment/native-plants/native-plants-and-nt-herbarium
https://linked.data.gov.au/org/Northern-Territory-Department-of-Lands-Planning-and-Environment,https://linked.data.gov.au/org/nt-dlpe,84 085 734 992,NT Department of Lands Planning and Environment,https://environment.nt.gov.au
https://linked.data.gov.au/org/NSW-Dept-of-Planning-Industry-and-Environment,https://linked.data.gov.au/org/nsw-dpie,,NSW Dept of Planning Industry and Environment,https://www.dpie.nsw.gov.au
